mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,8.11437482,1558.0,2.2736,0.573,56.4,2.1,460.0,1.0,3692.0,0.517,0.553,4.753
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,38.036729482,82872.0,4.34617,0.501,1300.0,27.5,500.0,1.0,5575.0,0.932,1.051,4.521
Kepler,CANDIDATE,0.0,0.0,0.0,0.0,0.0,4.64090031,2450.6,35.512,1.28,296.9,30.09,1155.0,1.0,6463.0,0.826,0.786,4.5
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,1.0,3.747838198,616.0,5.0642,1.121,138.2,13.65,1031.0,1.0,5514.0,0.826,0.926,4.569
Kepler,CONFIRMED,0.992,0.0,0.0,0.0,0.0,14.74914825,430.2,6.0995,0.173,107.4,2.89,874.0,4.0,5847.0,1.402,1.113,4.191
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,21.81295996,1175.4,4.3791,0.053,37.8,3.38,639.0,1.0,5601.0,0.999,0.934,4.41
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,7.91936937,15148.0,3.3148,0.733,389.0,10.34,814.0,1.0,5690.0,0.776,0.852,4.588
Kepler,CANDIDATE,0.334,0.0,0.0,0.0,0.0,1.028436523,8098.0,1.8606,1.5734,89.6,72.77,1947.0,1.0,6228.0,0.99,0.959,4.428
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,15.37562369,15337.0,3.3169,0.692,166.0,11.01,600.0,1.0,4986.0,0.833,0.793,4.496
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,8.10363271,887.9,3.161,0.047,39.3,2.11,687.0,2.0,4861.0,0.732,0.733,4.574
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,4.71510843,417.5,2.506,0.258,21.3,1.46,823.0,2.0,4861.0,0.732,0.733,4.574
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,6.365839713,780.7,2.9721,0.524,70.8,2.44,914.0,1.0,5776.0,0.849,0.939,4.554
Kepler,FALSE POSITIVE,0.037,0.0,0.0,1.0,0.0,5.97581754,962.4,3.065,0.941,50.3,3.86,1047.0,1.0,6108.0,0.997,1.072,4.471
